GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csv,com.example.csv.controllers,TiersController,143,0,8,0,27,0,13,0,9,0
csv,com.example.csv.controllers,ContratController,135,0,8,0,26,0,12,0,8,0
csv,com.example.csv.controllers,DossierController,142,0,8,0,28,0,13,0,9,0
csv,com.example.csv.controllers,CSVController,85,0,4,0,19,0,6,0,4,0
csv,com.example.csv.config,SwaggerConfig,14,0,0,0,6,0,2,0,2,0
csv,com.example.csv.config,JwtAuthenticationFilter,73,0,10,0,16,0,7,0,2,0
csv,com.example.csv.config,JwtService,98,0,4,0,25,0,12,0,10,0
csv,com.example.csv.config,ApplicationConfig,43,0,0,0,9,0,7,0,7,0
csv,com.example.csv.config,SecurityConfiguration,87,0,0,0,21,0,2,0,2,0
csv,com.example.csv.services.implementation,ContratServiceImpl,42,53,2,0,8,15,2,7,1,7
csv,com.example.csv.services.implementation,DossierServiceImpl,55,54,2,0,9,15,3,7,2,7
csv,com.example.csv.services.implementation,TiersServiceImpl,121,52,18,0,22,14,15,7,6,7
csv,com.example.csv.helper,CSVHelper,85,253,4,6,19,60,5,7,3,4
csv,com.example.csv.domain,ResponseMessage,78,0,14,0,3,0,14,0,7,0
csv,com.example.csv.domain,User.UserBuilder,81,0,0,0,1,0,11,0,11,0
csv,com.example.csv.domain,GetAllType,115,0,22,0,3,0,20,0,9,0
csv,com.example.csv.domain,UserRole,158,0,24,0,6,0,24,0,12,0
csv,com.example.csv.domain,Dossier,153,143,38,16,1,8,34,11,8,10
csv,com.example.csv.domain,Contrat,475,423,122,44,1,22,104,25,22,24
csv,com.example.csv.domain,User,390,0,66,0,17,0,61,0,28,0
csv,com.example.csv.domain,Tiers,130,123,32,14,1,7,29,10,7,9
csv,com.example.csv.domain,Role,15,0,0,0,3,0,1,0,1,0
csv,com.example.csv.services,CSVService,6,0,0,0,3,0,3,0,3,0
csv,com.example.csv.exceptions.auth,AlreadyExistsException,4,0,0,0,2,0,1,0,1,0
csv,com.example.csv.auth,AuthenticationResponse.AuthenticationResponseBuilder,27,0,0,0,1,0,5,0,5,0
csv,com.example.csv.auth,AuthenticationRequest,128,0,22,0,6,0,22,0,11,0
csv,com.example.csv.auth,AuthenticationRequest.AuthenticationRequestBuilder,27,0,0,0,1,0,5,0,5,0
csv,com.example.csv.auth,RegisterRequest,214,0,38,0,8,0,34,0,15,0
csv,com.example.csv.auth,RegisterRequest.RegisterRequestBuilder,45,0,0,0,1,0,7,0,7,0
csv,com.example.csv.auth,AuthenticationController,27,0,2,0,6,0,4,0,3,0
csv,com.example.csv.auth,AuthenticationResponse,128,0,22,0,6,0,22,0,11,0
csv,com.example.csv.auth,AuthenticationService,192,0,2,0,50,0,7,0,6,0
csv,com.example.csv,CsvApplication,8,0,0,0,3,0,2,0,2,0
csv,com.example.csv.DTO,TiersDTO,155,0,30,0,4,0,26,0,11,0
csv,com.example.csv.DTO,DossierDTO,195,0,38,0,5,0,32,0,13,0
